Cultivo,Metodo,Nutriente,pH_clase,Eficiencia
Trigo,Voleo,Nitrogeno,Muy basico,
Trigo,Voleo,Fosforo,Muy acido,
Trigo,Voleo,Fosforo,Acido,
Trigo,Voleo,Fosforo,Neutro,
Trigo,Voleo,Fosforo,Basico,
Trigo,Voleo,Fosforo,Muy basico,
Trigo,Voleo,Potasio,Muy acido,
Trigo,Voleo,Potasio,Acido,
Trigo,Voleo,Potasio,Neutro,
Trigo,Voleo,Potasio,Basico,
Trigo,Voleo,Potasio,Muy basico,
Trigo,Voleo,Calcio,Muy acido,
Trigo,Voleo,Calcio,Acido,
Trigo,Voleo,Calcio,Neutro,
Trigo,Voleo,Calcio,Basico,
Trigo,Voleo,Calcio,Muy basico,
Trigo,Voleo,Magnesio,Muy acido,
Trigo,Voleo,Magnesio,Acido,
Trigo,Voleo,Magnesio,Neutro,
Trigo,Voleo,Magnesio,Basico,
Trigo,Voleo,Magnesio,Muy basico,
Trigo,Voleo,Azufre,Muy acido,
Trigo,Voleo,Azufre,Acido,
Trigo,Voleo,Azufre,Neutro,
Trigo,Voleo,Azufre,Basico,
Trigo,Voleo,Azufre,Muy basico,
Arroz,Enterrado,Nitrogeno,Muy acido,
Arroz,Enterrado,Nitrogeno,Acido,
Arroz,Enterrado,Nitrogeno,Neutro,
Arroz,Enterrado,Nitrogeno,Basico,
Arroz,Enterrado,Nitrogeno,Muy basico,
Arroz,Enterrado,Fosforo,Muy acido,
Arroz,Enterrado,Fosforo,Acido,
Arroz,Enterrado,Fosforo,Neutro,
Arroz,Enterrado,Fosforo,Basico,
Arroz,Enterrado,Fosforo,Muy basico,
Arroz,Enterrado,Potasio,Muy acido,
Arroz,Enterrado,Potasio,Acido,
Arroz,Enterrado,Potasio,Neutro,
Arroz,Enterrado,Potasio,Basico,
Arroz,Enterrado,Potasio,Muy basico,
Arroz,Enterrado,Calcio,Muy acido,
Arroz,Enterrado,Calcio,Acido,
Arroz,Enterrado,Calcio,Neutro,
Arroz,Enterrado,Calcio,Basico,
Arroz,Enterrado,Calcio,Muy basico,
Arroz,Enterrado,Magnesio,Muy acido,
Arroz,Enterrado,Magnesio,Acido,
Arroz,Enterrado,Magnesio,Neutro,
Arroz,Enterrado,Magnesio,Basico,
Arroz,Enterrado,Magnesio,Muy basico,
Arroz,Enterrado,Azufre,Muy acido,
Arroz,Enterrado,Azufre,Acido,
Arroz,Enterrado,Azufre,Neutro,
Arroz,Enterrado,Azufre,Basico,
Arroz,Enterrado,Azufre,Muy basico,
Arroz,Pateado,Nitrogeno,Muy acido,
Arroz,Pateado,Nitrogeno,Acido,
Arroz,Pateado,Nitrogeno,Neutro,
Arroz,Pateado,Nitrogeno,Basico,
Arroz,Pateado,Nitrogeno,Muy basico,
Arroz,Pateado,Fosforo,Muy acido,
Arroz,Pateado,Fosforo,Acido,
Arroz,Pateado,Fosforo,Neutro,
Arroz,Pateado,Fosforo,Basico,
Arroz,Pateado,Fosforo,Muy basico,
Arroz,Pateado,Potasio,Muy acido,
Arroz,Pateado,Potasio,Acido,
Arroz,Pateado,Potasio,Neutro,
Arroz,Pateado,Potasio,Basico,
Arroz,Pateado,Potasio,Muy basico,
Arroz,Pateado,Calcio,Muy acido,
Arroz,Pateado,Calcio,Acido,
Arroz,Pateado,Calcio,Neutro,
Arroz,Pateado,Calcio,Basico,
Arroz,Pateado,Calcio,Muy basico,
Arroz,Pateado,Magnesio,Muy acido,
Arroz,Pateado,Magnesio,Acido,
Arroz,Pateado,Magnesio,Neutro,
Arroz,Pateado,Magnesio,Basico,
Arroz,Pateado,Magnesio,Muy basico,
Arroz,Pateado,Azufre,Muy acido,
Arroz,Pateado,Azufre,Acido,
Arroz,Pateado,Azufre,Neutro,
Arroz,Pateado,Azufre,Basico,
Arroz,Pateado,Azufre,Muy basico,
Arroz,Voleo,Nitrogeno,Muy acido,
Arroz,Voleo,Nitrogeno,Acido,
Arroz,Voleo,Nitrogeno,Neutro,
Arroz,Voleo,Nitrogeno,Basico,
Arroz,Voleo,Nitrogeno,Muy basico,
Arroz,Voleo,Fosforo,Muy acido,
Arroz,Voleo,Fosforo,Acido,
Arroz,Voleo,Fosforo,Neutro,
Arroz,Voleo,Fosforo,Basico,
Arroz,Voleo,Fosforo,Muy basico,
Arroz,Voleo,Potasio,Muy acido,
Arroz,Voleo,Potasio,Acido,
Arroz,Voleo,Potasio,Neutro,
Arroz,Voleo,Potasio,Basico,
Arroz,Voleo,Potasio,Muy basico,
Arroz,Voleo,Calcio,Muy acido,
Arroz,Voleo,Calcio,Acido,
Arroz,Voleo,Calcio,Neutro,
Arroz,Voleo,Calcio,Basico,
Arroz,Voleo,Calcio,Muy basico,
Arroz,Voleo,Magnesio,Muy acido,
Arroz,Voleo,Magnesio,Acido,
Arroz,Voleo,Magnesio,Neutro,
Arroz,Voleo,Magnesio,Basico,
Arroz,Voleo,Magnesio,Muy basico,
Arroz,Voleo,Azufre,Muy acido,
Arroz,Voleo,Azufre,Acido,
Arroz,Voleo,Azufre,Neutro,
Arroz,Voleo,Azufre,Basico,
Arroz,Voleo,Azufre,Muy basico,
Cana_azucar,Enterrado,Nitrogeno,Muy acido,
Cana_azucar,Enterrado,Nitrogeno,Acido,
Cana_azucar,Enterrado,Nitrogeno,Neutro,
Cana_azucar,Enterrado,Nitrogeno,Basico,
Cana_azucar,Enterrado,Nitrogeno,Muy basico,
Cana_azucar,Enterrado,Fosforo,Muy acido,
Cana_azucar,Enterrado,Fosforo,Acido,
Cana_azucar,Enterrado,Fosforo,Neutro,
Cana_azucar,Enterrado,Fosforo,Basico,
Cana_azucar,Enterrado,Fosforo,Muy basico,
Cana_azucar,Enterrado,Potasio,Muy acido,
Cana_azucar,Enterrado,Potasio,Acido,
Cana_azucar,Enterrado,Potasio,Neutro,
Cana_azucar,Enterrado,Potasio,Basico,
Cana_azucar,Enterrado,Potasio,Muy basico,
Cana_azucar,Enterrado,Calcio,Muy acido,
Cana_azucar,Enterrado,Calcio,Acido,
Cana_azucar,Enterrado,Calcio,Neutro,
Cana_azucar,Enterrado,Calcio,Basico,
Cana_azucar,Enterrado,Calcio,Muy basico,
Cana_azucar,Enterrado,Magnesio,Muy acido,
Cana_azucar,Enterrado,Magnesio,Acido,
Cana_azucar,Enterrado,Magnesio,Neutro,
Cana_azucar,Enterrado,Magnesio,Basico,
Cana_azucar,Enterrado,Magnesio,Muy basico,
Cana_azucar,Enterrado,Azufre,Muy acido,
Cana_azucar,Enterrado,Azufre,Acido,
Cana_azucar,Enterrado,Azufre,Neutro,
Cana_azucar,Enterrado,Azufre,Basico,
Cana_azucar,Enterrado,Azufre,Muy basico,
Cana_azucar,Pateado,Nitrogeno,Muy acido,
Cana_azucar,Pateado,Nitrogeno,Acido,
Cana_azucar,Pateado,Nitrogeno,Neutro,
Cana_azucar,Pateado,Nitrogeno,Basico,
Cana_azucar,Pateado,Nitrogeno,Muy basico,
Cana_azucar,Pateado,Fosforo,Muy acido,
Cana_azucar,Pateado,Fosforo,Acido,
Cana_azucar,Pateado,Fosforo,Neutro,
Cana_azucar,Pateado,Fosforo,Basico,
Cana_azucar,Pateado,Fosforo,Muy basico,
Cana_azucar,Pateado,Potasio,Muy acido,
Cana_azucar,Pateado,Potasio,Acido,
Cana_azucar,Pateado,Potasio,Neutro,
Cana_azucar,Pateado,Potasio,Basico,
Cana_azucar,Pateado,Potasio,Muy basico,
Cana_azucar,Pateado,Calcio,Muy acido,
Cana_azucar,Pateado,Calcio,Acido,
Cana_azucar,Pateado,Calcio,Neutro,
Cana_azucar,Pateado,Calcio,Basico,
Cana_azucar,Pateado,Calcio,Muy basico,
Cana_azucar,Pateado,Magnesio,Muy acido,
Cana_azucar,Pateado,Magnesio,Acido,
Cana_azucar,Pateado,Magnesio,Neutro,
Cana_azucar,Pateado,Magnesio,Basico,
Cana_azucar,Pateado,Magnesio,Muy basico,
Cana_azucar,Pateado,Azufre,Muy acido,
Cana_azucar,Pateado,Azufre,Acido,
Cana_azucar,Pateado,Azufre,Neutro,
Cana_azucar,Pateado,Azufre,Basico,
Cana_azucar,Pateado,Azufre,Muy basico,
Cana_azucar,Voleo,Nitrogeno,Muy acido,
Cana_azucar,Voleo,Nitrogeno,Acido,
Cana_azucar,Voleo,Nitrogeno,Neutro,
Cana_azucar,Voleo,Nitrogeno,Basico,
Cana_azucar,Voleo,Nitrogeno,Muy basico,
Cana_azucar,Voleo,Fosforo,Muy acido,
Cana_azucar,Voleo,Fosforo,Acido,
Cana_azucar,Voleo,Fosforo,Neutro,
Cana_azucar,Voleo,Fosforo,Basico,
Cana_azucar,Voleo,Fosforo,Muy basico,
Cana_azucar,Voleo,Potasio,Muy acido,
Cana_azucar,Voleo,Potasio,Acido,
Cana_azucar,Voleo,Potasio,Neutro,
Cana_azucar,Voleo,Potasio,Basico,
Cana_azucar,Voleo,Potasio,Muy basico,
Cana_azucar,Voleo,Calcio,Muy acido,
Cana_azucar,Voleo,Calcio,Acido,
Cana_azucar,Voleo,Calcio,Neutro,
Cana_azucar,Voleo,Calcio,Basico,
Cana_azucar,Voleo,Calcio,Muy basico,
Cana_azucar,Voleo,Magnesio,Muy acido,
Cana_azucar,Voleo,Magnesio,Acido,
Cana_azucar,Voleo,Magnesio,Neutro,
Cana_azucar,Voleo,Magnesio,Basico,
Cana_azucar,Voleo,Magnesio,Muy basico,
Cana_azucar,Voleo,Azufre,Muy acido,
Cana_azucar,Voleo,Azufre,Acido,
Cana_azucar,Voleo,Azufre,Neutro,
Cana_azucar,Voleo,Azufre,Basico,
Cana_azucar,Voleo,Azufre,Muy basico,
Cafe,Enterrado,Nitrogeno,Muy acido,
Cafe,Enterrado,Nitrogeno,Acido,
Cafe,Enterrado,Nitrogeno,Neutro,
Cafe,Enterrado,Nitrogeno,Basico,
Cafe,Enterrado,Nitrogeno,Muy basico,
Cafe,Enterrado,Fosforo,Muy acido,
Cafe,Enterrado,Fosforo,Acido,
Cafe,Enterrado,Fosforo,Neutro,
Cafe,Enterrado,Fosforo,Basico,
Cafe,Enterrado,Fosforo,Muy basico,
Cafe,Enterrado,Potasio,Muy acido,
Cafe,Enterrado,Potasio,Acido,
Cafe,Enterrado,Potasio,Neutro,
Cafe,Enterrado,Potasio,Basico,
Cafe,Enterrado,Potasio,Muy basico,
Cafe,Enterrado,Calcio,Muy acido,
Cafe,Enterrado,Calcio,Acido,
Cafe,Enterrado,Calcio,Neutro,
Cafe,Enterrado,Calcio,Basico,
Cafe,Enterrado,Calcio,Muy basico,
Cafe,Enterrado,Magnesio,Muy acido,
Cafe,Enterrado,Magnesio,Acido,
Cafe,Enterrado,Magnesio,Neutro,
Cafe,Enterrado,Magnesio,Basico,
Cafe,Enterrado,Magnesio,Muy basico,
Cafe,Enterrado,Azufre,Muy acido,
Cafe,Enterrado,Azufre,Acido,
Cafe,Enterrado,Azufre,Neutro,
Cafe,Enterrado,Azufre,Basico,
Cafe,Enterrado,Azufre,Muy basico,
Cafe,Pateado,Nitrogeno,Muy acido,
Cafe,Pateado,Nitrogeno,Acido,
Cafe,Pateado,Nitrogeno,Neutro,
Cafe,Pateado,Nitrogeno,Basico,
Cafe,Pateado,Nitrogeno,Muy basico,
Cafe,Pateado,Fosforo,Muy acido,
Cafe,Pateado,Fosforo,Acido,
Cafe,Pateado,Fosforo,Neutro,
Cafe,Pateado,Fosforo,Basico,
Cafe,Pateado,Fosforo,Muy basico,
Cafe,Pateado,Potasio,Muy acido,
Cafe,Pateado,Potasio,Acido,
Cafe,Pateado,Potasio,Neutro,
Cafe,Pateado,Potasio,Basico,
Cafe,Pateado,Potasio,Muy basico,
Cafe,Pateado,Calcio,Muy acido,
Cafe,Pateado,Calcio,Acido,
Cafe,Pateado,Calcio,Neutro,
Cafe,Pateado,Calcio,Basico,
Cafe,Pateado,Calcio,Muy basico,
Cafe,Pateado,Magnesio,Muy acido,
Cafe,Pateado,Magnesio,Acido,
Cafe,Pateado,Magnesio,Neutro,
Cafe,Pateado,Magnesio,Basico,
Cafe,Pateado,Magnesio,Muy basico,
Cafe,Pateado,Azufre,Muy acido,
Cafe,Pateado,Azufre,Acido,
Cafe,Pateado,Azufre,Neutro,
Cafe,Pateado,Azufre,Basico,
Cafe,Pateado,Azufre,Muy basico,
Cafe,Voleo,Nitrogeno,Muy acido,
Cafe,Voleo,Nitrogeno,Acido,
Cafe,Voleo,Nitrogeno,Neutro,
Cafe,Voleo,Nitrogeno,Basico,
Cafe,Voleo,Nitrogeno,Muy basico,
Cafe,Voleo,Fosforo,Muy acido,
Cafe,Voleo,Fosforo,Acido,
Cafe,Voleo,Fosforo,Neutro,
Cafe,Voleo,Fosforo,Basico,
Cafe,Voleo,Fosforo,Muy basico,
Cafe,Voleo,Potasio,Muy acido,
Cafe,Voleo,Potasio,Acido,
Cafe,Voleo,Potasio,Neutro,
Cafe,Voleo,Potasio,Basico,
Cafe,Voleo,Potasio,Muy basico,
Cafe,Voleo,Calcio,Muy acido,
Cafe,Voleo,Calcio,Acido,
Cafe,Voleo,Calcio,Neutro,
Cafe,Voleo,Calcio,Basico,
Cafe,Voleo,Calcio,Muy basico,
Cafe,Voleo,Magnesio,Muy acido,
Cafe,Voleo,Magnesio,Acido,
Cafe,Voleo,Magnesio,Neutro,
Cafe,Voleo,Magnesio,Basico,
Cafe,Voleo,Magnesio,Muy basico,
Cafe,Voleo,Azufre,Muy acido,
Cafe,Voleo,Azufre,Acido,
Cafe,Voleo,Azufre,Neutro,
Cafe,Voleo,Azufre,Basico,
Cafe,Voleo,Azufre,Muy basico,
Avena,Enterrado,Nitrogeno,Muy acido,
Avena,Enterrado,Nitrogeno,Acido,
Avena,Enterrado,Nitrogeno,Neutro,
Avena,Enterrado,Nitrogeno,Basico,
Avena,Enterrado,Nitrogeno,Muy basico,
Avena,Enterrado,Fosforo,Muy acido,
Avena,Enterrado,Fosforo,Acido,
Avena,Enterrado,Fosforo,Neutro,
Avena,Enterrado,Fosforo,Basico,
Avena,Enterrado,Fosforo,Muy basico,
Avena,Enterrado,Potasio,Muy acido,
Avena,Enterrado,Potasio,Acido,
Avena,Enterrado,Potasio,Neutro,
Avena,Enterrado,Potasio,Basico,
Avena,Enterrado,Potasio,Muy basico,
Avena,Enterrado,Calcio,Muy acido,
Avena,Enterrado,Calcio,Acido,
Avena,Enterrado,Calcio,Neutro,
Avena,Enterrado,Calcio,Basico,
Avena,Enterrado,Calcio,Muy basico,
Avena,Enterrado,Magnesio,Muy acido,
Avena,Enterrado,Magnesio,Acido,
Avena,Enterrado,Magnesio,Neutro,
Avena,Enterrado,Magnesio,Basico,
Avena,Enterrado,Magnesio,Muy basico,
Avena,Enterrado,Azufre,Muy acido,
Avena,Enterrado,Azufre,Acido,
Avena,Enterrado,Azufre,Neutro,
Avena,Enterrado,Azufre,Basico,
Avena,Enterrado,Azufre,Muy basico,
Avena,Pateado,Nitrogeno,Muy acido,
Avena,Pateado,Nitrogeno,Acido,
Avena,Pateado,Nitrogeno,Neutro,
Avena,Pateado,Nitrogeno,Basico,
Avena,Pateado,Nitrogeno,Muy basico,
Avena,Pateado,Fosforo,Muy acido,
Avena,Pateado,Fosforo,Acido,
Avena,Pateado,Fosforo,Neutro,
Avena,Pateado,Fosforo,Basico,
Avena,Pateado,Fosforo,Muy basico,
Avena,Pateado,Potasio,Muy acido,
Avena,Pateado,Potasio,Acido,
Avena,Pateado,Potasio,Neutro,
Avena,Pateado,Potasio,Basico,
Avena,Pateado,Potasio,Muy basico,
Avena,Pateado,Calcio,Muy acido,
Avena,Pateado,Calcio,Acido,
Avena,Pateado,Calcio,Neutro,
Avena,Pateado,Calcio,Basico,
Avena,Pateado,Calcio,Muy basico,
Avena,Pateado,Magnesio,Muy acido,
Avena,Pateado,Magnesio,Acido,
Avena,Pateado,Magnesio,Neutro,
Avena,Pateado,Magnesio,Basico,
Avena,Pateado,Magnesio,Muy basico,
Avena,Pateado,Azufre,Muy acido,
Avena,Pateado,Azufre,Acido,
Avena,Pateado,Azufre,Neutro,
Avena,Pateado,Azufre,Basico,
Avena,Pateado,Azufre,Muy basico,
Avena,Voleo,Nitrogeno,Muy acido,
Avena,Voleo,Nitrogeno,Acido,
Avena,Voleo,Nitrogeno,Neutro,
Avena,Voleo,Nitrogeno,Basico,
Avena,Voleo,Nitrogeno,Muy basico,
Avena,Voleo,Fosforo,Muy acido,
Avena,Voleo,Fosforo,Acido,
Avena,Voleo,Fosforo,Neutro,
Avena,Voleo,Fosforo,Basico,
Avena,Voleo,Fosforo,Muy basico,
Avena,Voleo,Potasio,Muy acido,
Avena,Voleo,Potasio,Acido,
Avena,Voleo,Potasio,Neutro,
Avena,Voleo,Potasio,Basico,
Avena,Voleo,Potasio,Muy basico,
Avena,Voleo,Calcio,Muy acido,
Avena,Voleo,Calcio,Acido,
Avena,Voleo,Calcio,Neutro,
